"Study","rho","n","beta.Direct","beta.Inverse","beta.Combined","SD.Direct","SD.Inverse","SD.Combined","ASE.Direct","ASE.Inverse","ASE.Combined","size/power.Direct","size/power.Inverse","size/power.Combined","correlation1","correlation2","correlation3"
"Experimental","0.5","600","0.995439397365445","0.984603693132986","0.974542531899114","0.764115662764069","0.75369549737423","0.747124878727976","0.766031893160739","0.758726181937184","0.74581179168982","0.262","0.255","0.26","-0.419131819588564","0.981795187003345","-0.420988126860464"
"Experimental","0.5","600","0.014943216861377","0.0145958384233146","0.024659308050741","0.695608873958966","0.700510507651832","0.690183660321156","0.692153230332839","0.686510385928131","0.675751738975468","0.053","0.062","0.058","-0.00299969855166399","-0.435676304370523","0.984701090839534"
"Experimental","0.5","750","-0.488111735110058","-0.477436335826447","-0.469477615322902","0.589387440369482","0.583598525164893","0.578969245754646","0.612422271390326","0.608013890201609","0.600311750977028","0.117","0.114","0.114","0.984903538373783","-0.450927574881877","0.0400049027564455"
"Experimental","0.5","750","1.02658049164942","1.006082033455","0.997120463328601","0.663365555617259","0.657016595450643","0.652721472091799","0.68255034557568","0.675893808996775","0.665273946993645","0.324","0.318","0.33","-0.454536044636738","0.981597917352933","-0.464311270837217"
"Experimental","0.5","750","-0.0423665584436835","-0.0331170439056326","-0.0260323518034071","0.605336173928733","0.602996447182896","0.594671243003352","0.616812605305266","0.611913807075155","0.603380150907811","0.043","0.043","0.041","0.0461698779323888","-0.472618576268121","0.983754441441175"
"Experimental","0.5","900","-0.49588914610454","-0.493275070960834","-0.486612091532677","0.569378146599137","0.567180414549275","0.563023317271117","0.558139445519652","0.554354340656431","0.547914055489981","0.142","0.138","0.141","0.987861340773486","-0.459185076678515","0.048087600680067"
"Experimental","0.5","900","1.01779397427971","1.00080801515354","0.994419233802582","0.651647174577831","0.641002780140919","0.640288249294085","0.621383482379339","0.615504511430279","0.606800660775977","0.384","0.379","0.381","-0.455339692484548","0.985531647622226","-0.451113845696186"
"Experimental","0.5","900","-0.0130288039552312","-0.00392632290789043","0.00165981391216598","0.581439789804801","0.570455008186322","0.566816953320272","0.562336906130868","0.557807657042461","0.550496595728274","0.06","0.055","0.056","0.0437210275044068","-0.451279648951442","0.987796525644972"
"Experimental","0.5","1050","-0.518571407999383","-0.51225682372261","-0.505470506964688","0.525510760851281","0.520737377635033","0.515606029593988","0.51569630399526","0.511882179522251","0.505942036809641","0.167","0.172","0.169","0.987654201213831","-0.405198448503071","-0.00741202261571865"
"Experimental","0.5","1050","1.03929647707864","1.02258921730067","1.01542130837731","0.571463395720738","0.566056449951686","0.563155121249892","0.574364979597109","0.568739092775911","0.560778961717716","0.43","0.43","0.435","-0.413840586087229","0.983403923717641","-0.441126640561513"
